index, frame_type, GPU Time, time.time()
301,0,7360961,1740586847.644383
302,0,7385831,1740586847.670479
303,0,7410700,1740586847.694051
304,0,7435566,1740586847.720500
305,2,-1000,1740586847.741488
306,1,7460436,1740586847.753178
306,1,-1000,1740586847.755146
307,0,7485302,1740586847.773178
308,0,7510177,1740586847.796610
309,0,7535040,1740586847.818625
310,0,7559907,1740586847.844016
311,0,7584774,1740586847.870015
312,0,7609643,1740586847.893231
313,0,7634510,1740586847.919289
314,0,7659379,1740586847.943265
315,0,7684247,1740586847.967889
316,0,7709118,1740586847.995036
317,0,7733984,1740586848.017624
318,0,7758851,1740586848.044894
319,0,7783721,1740586848.069188
320,0,7808588,1740586848.095875
321,0,7833481,1740586848.120375
322,0,7858324,1740586848.143646
323,0,7883192,1740586848.170056
324,0,7908061,1740586848.192286
325,0,7932928,1740586848.216795
326,0,7957798,1740586848.243933
327,0,7982665,1740586848.266749
328,0,8007533,1740586848.294460
329,0,8032403,1740586848.317540
330,0,8057269,1740586848.341187
331,0,8082137,1740586848.368468
332,0,8107005,1740586848.392267
333,0,8131877,1740586848.416968
334,0,8156741,1740586848.441525
335,0,8181609,1740586848.465284
336,0,8206479,1740586848.492660
337,0,8231346,1740586848.518021
338,0,8256214,1740586848.541788
339,0,8281085,1740586848.565527
340,0,8305950,1740586848.591764
341,0,8330818,1740586848.617367
342,0,8355687,1740586848.641301
343,0,8380556,1740586848.664698
344,0,8405422,1740586848.689967
345,0,8430291,1740586848.716739
346,0,8455159,1740586848.740685
347,0,8480027,1740586848.764629
348,0,8504895,1740586848.790117
349,0,8529765,1740586848.813372
350,0,8554631,1740586848.841141
351,0,8579499,1740586848.864115
352,0,8604369,1740586848.891519
353,0,8629236,1740586848.914154
354,0,8654103,1740586848.937653
355,0,8678972,1740586848.965073
356,0,8703840,1740586848.990163
357,0,8728708,1740586849.013180
358,0,8753579,1740586849.039702
359,0,8778444,1740586849.061902
360,0,8803312,1740586849.089108
361,0,8828180,1740586849.112759
362,0,8853050,1740586849.138575
363,0,8877917,1740586849.161575
364,0,8902785,1740586849.187692
365,0,8927653,1740586849.213620
366,2,-1000,1740586849.233510
367,1,8952521,1740586849.246552
367,1,-1000,1740586849.248564
368,0,8977389,1740586849.265666
369,0,9002257,1740586849.287255
370,0,9027125,1740586849.312805
371,0,9051993,1740586849.337476
372,0,9076861,1740586849.360940
373,0,9101732,1740586849.385574
374,0,9126598,1740586849.410390
375,0,9151466,1740586849.435802
376,0,9176334,1740586849.460910
377,0,9201202,1740586849.486653
378,0,9226070,1740586849.510019
379,0,9250939,1740586849.535769
380,0,9275806,1740586849.559831
381,0,9300675,1740586849.586797
382,0,9325543,1740586849.611654
383,0,9350412,1740586849.634041
384,0,9375279,1740586849.659758
385,0,9400147,1740586849.686207
386,0,9425016,1740586849.711223
387,0,9449884,1740586849.736454
388,0,9474752,1740586849.758612
389,0,9499620,1740586849.784393
390,0,9524488,1740586849.810660
391,0,9549356,1740586849.834834
392,0,9574224,1740586849.860683
393,0,9599093,1740586849.884142
394,0,9623960,1740586849.907862
395,0,9648828,1740586849.934162
396,0,9673710,1740586849.958810
397,0,9698564,1740586849.984849
398,0,9723433,1740586850.009431
399,0,9748302,1740586850.032094
400,0,9773169,1740586850.058539
401,0,9798037,1740586850.082632
402,0,9822905,1740586850.108972
403,0,9847773,1740586850.132550
404,0,9872641,1740586850.156536
405,0,9897509,1740586850.182372
406,0,9922379,1740586850.209203
407,0,9947246,1740586850.231729
408,0,9972114,1740586850.257066
409,0,9996985,1740586850.281443
410,0,10021850,1740586850.306967
411,0,10046718,1740586850.332642
412,0,10071587,1740586850.356130
413,0,10096455,1740586850.386093
414,0,10121322,1740586850.405619
415,0,10146192,1740586850.430149
416,0,10171062,1740586850.456474
417,0,10195927,1740586850.481587
418,0,10220797,1740586850.506172
419,0,10245665,1740586850.530285
420,0,10270531,1740586850.556158
421,0,10295402,1740586850.580003
422,0,10320267,1740586850.605917
423,0,10345135,1740586850.631954
424,0,10370004,1740586850.654444
